invoiceID,customerID,itemID,itemName,itemDesc,itemPrice,itemQTY,totalCost,dateInvoiced
145,2379,111203, Dog Travel Bowl, Collapsible bowl for providing water and food to dogs during travel.,$6.99,1,$6.99, 17/05/2024
145,2379,111206, Dog Clicker Training Kit, Training kit for teaching dogs through clicker-based positive reinforcement.,$18.99,1,$18.99, 17/05/2024
145,2379,111227, Dog Poop Bags, Biodegradable bags for cleaning up dog waste.,$6.99,1,$6.99, 17/05/2024
145,2379,111233, Fish Tank Algae Scrubber, Scrubber for removing algae from aquarium glass.,$12.99,1,$12.99, 17/05/2024
146,2380,111216, Rabbit Litter, Absorbent litter for rabbit litter boxes.,$14.99,2,$29.98, 18/05/2024
146,2380,111233, Fish Tank Algae Scrubber, Scrubber for removing algae from aquarium glass.,$12.99,1,$12.99, 18/05/2024
146,2380,111239, Hamster Ladder Bridge, Bridge-like structure for hamsters to climb and explore.,$11.99,2,$23.98, 18/05/2024
147,2381,111222, Rabbit Hay Feeder, Feeder for providing hay to rabbits.,$9.99,2,$19.98, 19/05/2024
147,2381,111210, Rabbit Hay Rack, Rack for holding hay for rabbits' consumption.,$9.99,2,$19.98, 19/05/2024
147,2381,111216, Rabbit Litter, Absorbent litter for rabbit litter boxes.,$14.99,2,$29.98, 19/05/2024
147,2381,111257, Rabbit Tunnel System, System of interconnected tunnels for rabbits to explore.,$29.99,1,$29.99, 19/05/2024
148,2382,111233, Fish Tank Algae Scrubber, Scrubber for removing algae from aquarium glass.,$12.99,1,$12.99, 20/05/2024
148,2382,111236, Bird Waterer, Water dispenser for birds' hydration needs.,$10.99,1,$10.99, 20/05/2024
148,2382,111220, Fish Tank Background, Background image for enhancing aquarium visual appeal.,$16.99,1,$16.99, 20/05/2024
149,2383,111236, Bird Waterer, Water dispenser for birds' hydration needs.,$10.99,1,$10.99, 21/05/2024
149,2383,111228, Rabbit Litter Box, Litter box designed specifically for rabbits.,$18.99,2,$37.98, 21/05/2024
149,2383,111245, Dog Training Clicker, Clicker for training dogs with positive reinforcement.,$3.99,1,$3.99, 21/05/2024
150,2384,111224, Dog Training Treats, Treats for rewarding dogs during training sessions.,$10.99,1,$10.99, 22/05/2024
150,2384,111213, Hamster Platform, Platform for hamsters to climb and explore their habitat.,$11.99,2,$23.98, 22/05/2024
150,2384,111268, Rabbit Grooming Glove, Glove for grooming rabbits' fur.,$11.99,2,$23.98, 22/05/2024
157,2391,111257, Rabbit Tunnel System, System of interconnected tunnels for rabbits to explore.,$29.99,1,$29.99, 29/05/2024
157,2391,111131, Fish Tank Filter, Filter for maintaining clean water in aquariums.,$19.99,1,$19.99, 29/05/2024
157,2391,111130, Fish Tank(L), Large-sized fish tank. Ideal for multiple fish.,$79.99,1,$79.99, 29/05/2024
157,2391,111120, Hamster Wheel(L), Large-sized wheel for hamsters. Provides exercise.,$8.99,2,$17.98, 29/05/2024
157,2391,111115, Dog Ball Launcher, Launcher for throwing balls for dogs to fetch.,$19.99,1,$19.99, 29/05/2024
158,2392,111218, Dog Leash(M), Medium-sized dog leash. Durable and comfortable.,$12.99,2,$25.98, 30/05/2024
158,2392,111233, Fish Tank Algae Scrubber, Scrubber for removing algae from aquarium glass.,$12.99,1,$12.99, 30/05/2024
158,2392,111126, Rabbit Chew Toys, Toys for rabbits to chew on. Promotes dental health.,$7.99,3,$23.97, 30/05/2024
158,2392,111204, Rabbit Chewing Sticks, Chewable sticks for rabbits' dental health and entertainment.,$8.99,2,$17.98, 30/05/2024
159,2393,111231, Dog Poop Bags, Biodegradable bags for cleaning up dog waste.,$6.99,1,$6.99, 31/05/2024
159,2393,111250, Rabbit Water Bottle, Drip-resistant water bottle for rabbits' hydration.,$8.99,2,$17.98, 31/05/2024
159,2393,111215, Dog Training Clicker, Clicker for training dogs with positive reinforcement.,$3.99,1,$3.99, 31/05/2024
159,2393,111248, Cat Scratching Pad, Pad for cats to scratch and maintain healthy claws.,$10.99,3,$32.97, 31/05/2024
159,2393,111210, Rabbit Hay Rack, Rack for holding hay for rabbits' consumption.,$9.99,2,$19.98, 31/05/2024
160,2394,111215, Dog Training Clicker, Clicker for training dogs with positive reinforcement.,$3.99,1,$3.99, 01/06/2024
