1,1,111121,Cat Litter Box,Spacious litter box with odor control.,34.99,35,1224.65,2022-01-01
2,2,111148,Rabbit Nail Clippers,Clippers designed for safely trimming rabbit nails.,9.99,83,829.17,2022-01-01
3,3,111155,Bird Bath,Plastic bath for birds to bathe and stay clean.,9.99,30,299.7,2022-01-02
4,4,111145,Hamster Bedding,Soft bedding material for hamsters' comfort.,7.99,40,319.6,2022-01-02
5,5,111122,Rabbit Hay Feeder,Convenient feeder for rabbits to access hay.,14.99,94,1409.06,2022-01-02
6,6,111146,Dog Raincoat (M),Medium-sized raincoat for dogs.,18.99,62,1177.38,2022-01-03
7,7,111113,Rabbit Hutch,Spacious hutch for rabbits with multiple compartments.,99.99,31,3099.69,2022-01-03
8,8,111135,Fish Food,Nutritious food pellets for fish.,12.99,94,1221.06,2022-01-03
9,9,111160,Fish Tank Filter,Efficient filter system to maintain aquarium water quality.,39.99,93,3719.07,2022-01-03
10,10,111137,Dog Training Clicker,Clicker tool for positive reinforcement training.,3.99,62,247.38,2022-01-03
11,11,111141,Dog Cooling Mat,Cooling mat for dogs to beat the heat.,21.99,100,2199,2022-01-03
12,12,111146,Dog Raincoat (M),Medium-sized raincoat for dogs.,18.99,80,1519.2,2022-01-03
13,13,111115,Cat Toy Set,Set of assorted toys to entertain your cat.,19.99,74,1479.26,2022-01-03
14,14,111142,Cat Tunnel,Interactive tunnel for cats to play and hide.,14.99,97,1454.03,2022-01-04
15,15,111111,Dog Coat (S),A small sized dog coat. Various color options.,16.99,51,866.49,2022-01-04
16,16,111157,Dog GPS Tracker,GPS tracker to monitor your dog's location.,49.99,76,3799.24,2022-01-04
17,17,111142,Cat Tunnel,Interactive tunnel for cats to play and hide.,14.99,85,1274.15,2022-01-05
18,18,111145,Hamster Bedding,Soft bedding material for hamsters' comfort.,7.99,73,583.27,2022-01-05
19,19,111115,Cat Toy Set,Set of assorted toys to entertain your cat.,19.99,37,739.63,2022-01-05
20,20,111135,Fish Food,Nutritious food pellets for fish.,12.99,55,714.45,2022-01-05
21,21,111152,Guinea Pig Hay Rack,Wall-mounted rack for easy access to hay for guinea pigs.,11.99,89,1067.11,2022-01-06
22,22,111152,Guinea Pig Hay Rack,Wall-mounted rack for easy access to hay for guinea pigs.,11.99,91,1091.09,2022-01-06
23,23,111134,Dog Poop Bags,Biodegradable bags for convenient waste disposal.,4.99,78,389.22,2022-01-06
24,24,111158,Cat Carrier,Sturdy carrier for transporting cats safely.,39.99,33,1319.67,2022-01-07
25,25,111122,Rabbit Hay Feeder,Convenient feeder for rabbits to access hay.,14.99,57,854.43,2022-01-07
26,26,111126,Guinea Pig Cage,Cozy cage for guinea pigs with multiple levels.,39.99,61,2439.39,2022-01-07
27,27,111131,Dog Treats,Assorted flavors of treats for dogs.,9.99,26,259.74,2022-01-07
28,28,111144,Fish Tank Heater,Adjustable heater for maintaining optimal aquarium temperature.,19.99,85,1699.15,2022-01-07
29,29,111130,Ferret Tunnel,Tunnel system for ferrets to explore and play.,17.99,47,845.53,2022-01-07
30,30,111129,Turtle Tank,Tank setup for turtles with basking area.,89.99,51,4589.49,2022-01-07
31,31,111150,Bird Cage Cover,Cover to provide privacy and darkness for birds.,15.99,42,671.58,2022-01-07
32,32,111122,Rabbit Hay Feeder,Convenient feeder for rabbits to access hay.,14.99,25,374.75,2022-01-07
